Metric,Value
design__lint_error__count,0
design__lint_timing_construct__count,0
design__lint_warning__count,114
design__inferred_latch__count,0
design__instance__count,321835
design__instance__area,5503920
design__instance_unmapped__count,0
synthesis__check_error__count,0
design__max_slew_violation__count__corner:nom_fast_1p32V_m40C,0
design__max_fanout_violation__count__corner:nom_fast_1p32V_m40C,606
design__max_cap_violation__count__corner:nom_fast_1p32V_m40C,90
power__internal__total,0.008636272512376308
power__switching__total,0.0014297140296548605
power__leakage__total,0.00019449356477707624
power__total,0.01026048045605421
clock__skew__worst_hold__corner:nom_fast_1p32V_m40C,-0.3115797430477555
clock__skew__worst_setup__corner:nom_fast_1p32V_m40C,0.3076462782714138
timing__hold__ws__corner:nom_fast_1p32V_m40C,0.08705103551059547
timing__setup__ws__corner:nom_fast_1p32V_m40C,8.705544975746623
timing__hold__tns__corner:nom_fast_1p32V_m40C,0
timing__setup__tns__corner:nom_fast_1p32V_m40C,0
timing__hold__wns__corner:nom_fast_1p32V_m40C,0
timing__setup__wns__corner:nom_fast_1p32V_m40C,0
timing__hold_vio__count__corner:nom_fast_1p32V_m40C,0
timing__hold_r2r__ws__corner:nom_fast_1p32V_m40C,0.087373
timing__hold_r2r_vio__count__corner:nom_fast_1p32V_m40C,0
timing__setup_vio__count__corner:nom_fast_1p32V_m40C,0
timing__setup_r2r__ws__corner:nom_fast_1p32V_m40C,8.913414
timing__setup_r2r_vio__count__corner:nom_fast_1p32V_m40C,0
design__max_slew_violation__count__corner:nom_slow_1p08V_125C,171
design__max_fanout_violation__count__corner:nom_slow_1p08V_125C,606
design__max_cap_violation__count__corner:nom_slow_1p08V_125C,87
clock__skew__worst_hold__corner:nom_slow_1p08V_125C,-0.3521909252809891
clock__skew__worst_setup__corner:nom_slow_1p08V_125C,0.3414099932731585
timing__hold__ws__corner:nom_slow_1p08V_125C,0.6048943739335614
timing__setup__ws__corner:nom_slow_1p08V_125C,-7.627166669682772
timing__hold__tns__corner:nom_slow_1p08V_125C,0
timing__setup__tns__corner:nom_slow_1p08V_125C,-2637.5422130675697
timing__hold__wns__corner:nom_slow_1p08V_125C,0
timing__setup__wns__corner:nom_slow_1p08V_125C,-7.627166669682772
timing__hold_vio__count__corner:nom_slow_1p08V_125C,0
timing__hold_r2r__ws__corner:nom_slow_1p08V_125C,0.604894
timing__hold_r2r_vio__count__corner:nom_slow_1p08V_125C,0
timing__setup_vio__count__corner:nom_slow_1p08V_125C,1085
timing__setup_r2r__ws__corner:nom_slow_1p08V_125C,-7.627167
timing__setup_r2r_vio__count__corner:nom_slow_1p08V_125C,1056
design__max_slew_violation__count__corner:nom_typ_1p20V_25C,3
design__max_fanout_violation__count__corner:nom_typ_1p20V_25C,606
design__max_cap_violation__count__corner:nom_typ_1p20V_25C,88
clock__skew__worst_hold__corner:nom_typ_1p20V_25C,-0.3159982087661214
clock__skew__worst_setup__corner:nom_typ_1p20V_25C,0.3179730735381776
timing__hold__ws__corner:nom_typ_1p20V_25C,0.27593261789819457
timing__setup__ws__corner:nom_typ_1p20V_25C,2.60036621817726
timing__hold__tns__corner:nom_typ_1p20V_25C,0
timing__setup__tns__corner:nom_typ_1p20V_25C,0
timing__hold__wns__corner:nom_typ_1p20V_25C,0
timing__setup__wns__corner:nom_typ_1p20V_25C,0
timing__hold_vio__count__corner:nom_typ_1p20V_25C,0
timing__hold_r2r__ws__corner:nom_typ_1p20V_25C,0.275933
timing__hold_r2r_vio__count__corner:nom_typ_1p20V_25C,0
timing__setup_vio__count__corner:nom_typ_1p20V_25C,0
timing__setup_r2r__ws__corner:nom_typ_1p20V_25C,2.600366
timing__setup_r2r_vio__count__corner:nom_typ_1p20V_25C,0
design__max_slew_violation__count,171
design__max_fanout_violation__count,606
design__max_cap_violation__count,90
clock__skew__worst_hold,-0.3115797430477555
clock__skew__worst_setup,0.3076462782714138
timing__hold__ws,0.08705103551059547
timing__setup__ws,-7.627166669682772
timing__hold__tns,0
timing__setup__tns,-2637.5422130675697
timing__hold__wns,0
timing__setup__wns,-7.627166669682772
timing__hold_vio__count,0
timing__hold_r2r__ws,0.087373
timing__hold_r2r_vio__count,0
timing__setup_vio__count,1085
timing__setup_r2r__ws,-7.627167
timing__setup_r2r_vio__count,1056
design__die__bbox,0.0 0.0 2699.0 2699.0
design__core__bbox,378.24 378.0 2320.8 2320.92
design__io,22
design__die__area,7284600
design__core__area,3774240
design__instance__count__stdcell,49236
design__instance__area__stdcell,700629
design__instance__count__macros,0
design__instance__area__macros,0
design__instance__count__padcells,204
design__instance__area__padcells,1612080
design__instance__count__cover,24
design__instance__area__cover,117600
design__instance__utilization,0.185634
design__instance__utilization__stdcell,0.185634
design__rows,514
design__rows:CoreSite,514
design__sites,2080158
design__sites:CoreSite,2080158
design__instance__count__class:input_pad,5
design__instance__area__class:input_pad,72000
design__instance__count__class:output_pad,13
design__instance__area__class:output_pad,187200
design__instance__count__class:power_pad,6
design__instance__area__class:power_pad,86400
design__instance__count__class:inverter,1289
design__instance__area__class:inverter,7016.28
design__instance__count__class:sequential_cell,4833
design__instance__area__class:sequential_cell,236763
design__instance__count__class:multi_input_combinational_cell,29971
design__instance__area__class:multi_input_combinational_cell,295453
flow__warnings__count,1
flow__errors__count,0
flow__warnings__count:IFP-0028,1
flow__warnings__count:STA-0366,1
flow__warnings__type_count,1
flow__warnings__count:ORD-0039,1
design__instance__count__class:pad_spacer,180
design__instance__area__class:pad_spacer,1266480
design__instance__count__class:cover,24
design__instance__area__class:cover,117600
flow__warnings__count:PAD-0033,4
design__power_grid_violation__count__net:VDD,0
design__power_grid_violation__count__net:VSS,0
design__power_grid_violation__count,0
flow__warnings__count:GPL-0302,1
flow__warnings__count:GRT-0281,2
timing__drv__floating__nets,4
timing__drv__floating__pins,0
design__instance__displacement__total,20548.1
design__instance__displacement__mean,0.433
design__instance__displacement__max,46.413
route__wirelength__estimated,3846920
design__violations,0
design__instance__count__class:timing_repair_buffer,10275
design__instance__area__class:timing_repair_buffer,128008
flow__warnings__count:RSZ-0020,1
design__instance__count__class:clock_buffer,812
design__instance__area__class:clock_buffer,21961.5
design__instance__count__class:clock_inverter,224
design__instance__area__class:clock_inverter,1455.15
design__instance__count__setup_buffer,0
design__instance__count__hold_buffer,5739
global_route__vias,271
global_route__wirelength,5313535
antenna__violating__nets,6
antenna__violating__pins,6
route__antenna_violation__count,6
antenna_diodes_count,1628
design__instance__count__class:antenna_cell,1832
design__instance__area__class:antenna_cell,9971.94
route__net,47065
route__net__special,22
route__drc_errors__iter:0,1222
route__wirelength__iter:0,4401386
route__drc_errors__iter:1,287
route__wirelength__iter:1,4401338
route__drc_errors__iter:2,198
route__wirelength__iter:2,4401310
route__drc_errors__iter:3,0
route__wirelength__iter:3,4401266
route__drc_errors__iter:4,0
route__wirelength__iter:4,4401057
route__drc_errors,0
route__wirelength,4401266
route__vias,332571
route__vias__singlecut,332571
route__vias__multicut,0
flow__warnings__count:DRT-0349,10
design__disconnected_pin__count,0
design__critical_disconnected_pin__count,0
route__wirelength__max,2503.13
design__instance__count__class:fill_cell,272371
design__instance__area__class:fill_cell,3073610
timing__unannotated_net__count__corner:nom_fast_1p32V_m40C,375
timing__unannotated_net_filtered__count__corner:nom_fast_1p32V_m40C,0
timing__unannotated_net__count__corner:nom_slow_1p08V_125C,375
timing__unannotated_net_filtered__count__corner:nom_slow_1p08V_125C,0
timing__unannotated_net__count__corner:nom_typ_1p20V_25C,375
timing__unannotated_net_filtered__count__corner:nom_typ_1p20V_25C,0
timing__unannotated_net__count,375
timing__unannotated_net_filtered__count,0
design_powergrid__voltage__worst__net:VDD__corner:nom_typ_1p20V_25C,1.19762
design_powergrid__drop__average__net:VDD__corner:nom_typ_1p20V_25C,1.19919
design_powergrid__drop__worst__net:VDD__corner:nom_typ_1p20V_25C,0.00237906
design_powergrid__voltage__worst__net:VSS__corner:nom_typ_1p20V_25C,0.00268467
design_powergrid__drop__average__net:VSS__corner:nom_typ_1p20V_25C,0.00187408
design_powergrid__drop__worst__net:VSS__corner:nom_typ_1p20V_25C,0.00268467
design_powergrid__voltage__worst,0.00268467
design_powergrid__voltage__worst__net:VDD,1.19762
design_powergrid__drop__worst,0.00268467
design_powergrid__drop__worst__net:VDD,0.00237906
design_powergrid__voltage__worst__net:VSS,0.00268467
design_powergrid__drop__worst__net:VSS,0.00268467
ir__voltage__worst,1.2
ir__drop__avg,0.000813
ir__drop__worst,0.00238
design__xor_difference__count,0
klayout__antenna_error__count,0
klayout__density_error__count,0
klayout__drc_error__count,0
magic__illegal_overlap__count,17208
design__lvs_device_difference__count,0
design__lvs_net_difference__count,0
design__lvs_property_fail__count,0
design__lvs_error__count,0
design__lvs_unmatched_device__count,0
design__lvs_unmatched_net__count,0
design__lvs_unmatched_pin__count,0
